token,model_dim,inter_dim,expert,topk,dtype,q_dtype,wq_dtype,q_type,stage,use_g1u1,block_m,ksplit,us,tag,err
1,1024,1024,8,2,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_tensor_quant,1,1,128,0,40.70715,ck_moe_stage1_B16_F8_F8_PerTensor_256x128x128x128_2x2_16_MulABScale_Nswizzle0_interwave_v1,0.10%
1,1024,1024,8,2,torch.bfloat16,torch.float8_e4m3fnuz,torch.float8_e4m3fnuz,QuantType.per_tensor_quant,1,1,128,0,40.70715,ck_moe_stage2_B16_F8_F8_PerTensor_256x128x128x128_2x2_16_MulABScaleExpertWeight_Nswizzle0_interwave_v1,0.10%
