CodeObj, Vaddr, Instruction, Hitcount, Latency, Source
4,6448,"v_add_u32_e32 v6, s15, v6",16,64,
4,6452,"v_xor_b32_e32 v6, s15, v6",16,64,
4,6456,"v_cndmask_b32_e32 v7, v7, v8, vcc",16,64,
4,6460,"v_add_u32_e32 v8, s15, v4",16,64,
4,6464,"v_xor_b32_e32 v8, s15, v8",16,64,
4,6468,"v_mul_hi_u32 v9, v8, v3",16,64,
4,6476,"v_mul_lo_u32 v9, v9, s0",16,64,
4,6484,"v_sub_u32_e32 v8, v8, v9",16,64,
4,6488,"v_subrev_u32_e32 v9, s0, v8",16,64,
4,6492,"v_cmp_le_u32_e32 vcc, s0, v8",16,64,
4,6496,"v_mul_hi_u32 v3, v6, v3",16,64,
4,6504,"v_mul_lo_u32 v3, v3, s0",16,64,
4,6512,"v_cndmask_b32_e32 v8, v8, v9, vcc",16,64,
4,6516,"v_subrev_u32_e32 v9, s0, v8",16,64,
4,6520,"v_cmp_le_u32_e32 vcc, s0, v8",16,64,
4,6524,"v_sub_u32_e32 v3, v6, v3",16,64,
4,6528,"v_subrev_u32_e32 v6, s0, v3",16,64,
4,6532,"v_cndmask_b32_e32 v21, v8, v9, vcc",16,64,
4,6536,"v_cvt_f32_u32_e32 v8, s16",16,64,
4,6540,"v_cmp_le_u32_e32 vcc, s0, v3",16,64,
4,6544,"s_sub_i32 s1, 0, s16",16,64,
4,6548,"s_bfe_i32 s17, s10, 0x10018",16,64,
4,6556,"v_rcp_iflag_f32_e32 v8, v8",16,128,
4,6560,"v_cndmask_b32_e32 v3, v3, v6, vcc",16,64,
4,6564,"v_subrev_u32_e32 v6, s0, v3",16,64,
4,6568,"v_cmp_le_u32_e32 vcc, s0, v3",16,64,
4,6572,"v_mul_f32_e32 v8, 0x4f7ffffe, v8",16,64,
4,6580,"v_cvt_u32_f32_e32 v8, v8",16,64,
4,6584,"s_lshl_b32 s0, s10, 7",16,64,
4,6588,"v_or_b32_e32 v9, s0, v1",16,64,
4,6592,"v_add_u32_e32 v23, s17, v9",16,64,
4,6596,"v_mul_lo_u32 v10, s1, v8",16,64,
4,6604,"v_mul_hi_u32 v10, v8, v10",16,64,
4,6612,"v_xor_b32_e32 v9, s17, v23",16,64,
4,6616,"v_add_u32_e32 v24, v8, v10",16,64,
4,6620,"v_mul_hi_u32 v8, v9, v24",16,64,
4,6628,"v_mul_lo_u32 v8, v8, s16",16,64,
4,6636,"v_cndmask_b32_e32 v3, v3, v6, vcc",16,64,
4,6640,"v_sub_u32_e32 v8, v9, v8",16,64,
4,6644,"v_xor_b32_e32 v3, s15, v3",16,64,
4,6648,"v_or_b32_e32 v5, s0, v5",16,64,
4,6652,"v_subrev_u32_e32 v9, s16, v8",16,64,
