Addr,Instruction,Hitcount,Cycles,C++ Reference
0x7f4ced4287cc,"s_load_dword s39, s[38:39], 0x0",32,144,
0x7f4ced4287d4,s_nop 0,32,128,
0x7f4ced4287d8,"s_load_dword s38, s[56:57], 0x0",32,144,
0x7f4ced4287e0,"s_cmp_eq_u32 s4, s6",32,144,
0x7f4ced4287e4,s_waitcnt lgkmcnt(0),32,3536,
0x7f4ced4287e8,"s_cselect_b32 s6, s7, s37",32,144,
0x7f4ced4287ec,"s_add_i32 s6, s6, 63",32,144,
0x7f4ced4287f0,"s_ashr_i32 s7, s6, 31",32,144,
0x7f4ced4287f4,"s_lshr_b32 s7, s7, 26",32,144,
0x7f4ced4287f8,"s_add_i32 s6, s6, s7",32,144,
0x7f4ced4287fc,"s_ashr_i32 s51, s6, 6",32,144,
0x7f4ced428800,"s_add_i32 s6, s5, 63",32,144,
0x7f4ced428804,"s_cmpk_gt_u32 s6, 0x7e",32,144,
0x7f4ced428808,"s_mov_b64 s[6:7], 0",32,144,
0x7f4ced42880c,s_cbranch_scc1 7,32,128,
0x7f4ced42882c,s_getpc_b64 s[16:17],32,144,
0x7f4ced428830,"s_add_u32 s16, s16, 0xffff9a14",32,144,
0x7f4ced428838,"s_addc_u32 s17, s17, -1",32,144,
0x7f4ced428840,"s_xor_b32 s41, s42, s41",32,144,
0x7f4ced428844,"s_mul_i32 s42, s54, s40",32,144,
0x7f4ced428848,"s_sub_i32 s42, s43, s42",32,144,
0x7f4ced42884c,"s_add_i32 s43, s54, 1",32,144,
0x7f4ced428850,"s_sub_i32 s55, s42, s40",32,144,
0x7f4ced428854,"s_cmp_ge_u32 s42, s40",32,144,
0x7f4ced428858,"s_cselect_b32 s43, s43, s54",32,144,
0x7f4ced42885c,"s_cselect_b32 s42, s55, s42",32,144,
0x7f4ced428860,"s_add_i32 s54, s43, 1",32,144,
0x7f4ced428864,"s_cmp_ge_u32 s42, s40",32,144,
0x7f4ced428868,"s_cselect_b32 s40, s54, s43",32,144,
0x7f4ced42886c,"s_xor_b32 s40, s40, s41",32,144,
0x7f4ced428870,"s_sub_i32 s40, s40, s41",32,144,
0x7f4ced428874,"s_ashr_i32 s41, s5, 31",32,144,
0x7f4ced428878,"s_lshr_b32 s41, s41, 26",32,144,
0x7f4ced42887c,"s_add_i32 s5, s5, s41",32,144,
0x7f4ced428880,"s_ashr_i32 s54, s5, 6",32,144,
0x7f4ced428884,"s_mul_i32 s5, s49, s33",32,144,
0x7f4ced428888,"s_mul_i32 s41, s50, s3",32,144,
0x7f4ced42888c,"s_add_i32 s43, s41, s5",32,144,
0x7f4ced428890,"s_add_u32 s5, s24, -1",32,144,
0x7f4ced428894,"s_add_u32 s41, 0, 0",32,144,
0x7f4ced428898,"s_addc_u32 s39, s39, -1",32,144,
0x7f4ced42889c,"s_add_i32 s56, s39, 1",32,144,
0x7f4ced4288a0,"s_mul_i32 s39, s5, s49",32,144,
0x7f4ced4288a4,"s_add_i32 s41, s56, s39",32,144,
0x7f4ced4288a8,"v_lshrrev_b32_e32 v1, 6, v0",32,128,
0x7f4ced4288ac,"v_mbcnt_lo_u32_b32 v0, -1, 0",32,128,
0x7f4ced4288b4,"v_mbcnt_hi_u32_b32 v66, -1, v0",32,128,
0x7f4ced4288bc,"v_lshrrev_b32_e32 v67, 4, v66",32,128,
0x7f4ced4288c0,"v_and_b32_e32 v28, 15, v66",32,128,
0x7f4ced4288c4,"v_lshlrev_b32_e32 v38, 3, v67",32,128,
0x7f4ced4288c8,"s_lshl_b32 s42, s41, 1",32,144,
0x7f4ced4288cc,"s_add_u32 s41, 0, 0",32,144,
0x7f4ced4288d0,"s_addc_u32 s38, s38, 0x7fffffff",32,144,
0x7f4ced4288d8,"s_add_i32 s38, s38, s39",32,144,
0x7f4ced4288dc,"s_lshl_b32 s39, s38, 1",32,144,
0x7f4ced4288e0,"s_add_i32 s39, s39, 2",32,144,
0x7f4ced4288e4,"s_mul_i32 s40, s40, s35",32,144,
0x7f4ced4288e8,"s_ashr_i32 s41, s40, 31",32,144,
0x7f4ced4288ec,"s_lshl_b64 s[40:41], s[40:41], 1",32,144,
0x7f4ced4288f0,"s_add_u32 s50, s46, s40",32,144,
0x7f4ced4288f4,"s_addc_u32 s55, s47, s41",32,144,
0x7f4ced4288f8,"s_add_i32 s35, s28, -1",32,144,
0x7f4ced4288fc,"s_mul_i32 s35, s34, s35",32,144,
0x7f4ced428900,"s_add_i32 s56, s56, s35",32,144,
0x7f4ced428904,"s_cmp_gt_i32 s28, 0",32,144,
0x7f4ced428908,"s_cselect_b64 vcc, -1, 0",32,144,
0x7f4ced42890c,"s_lshl_b32 s56, s56, 1",32,144,
0x7f4ced428910,"s_add_i32 s38, s51, -1",32,144,
0x7f4ced428914,"s_mul_i32 s28, s4, s48",32,144,
0x7f4ced428918,"s_add_i32 s40, s43, s28",32,144,
0x7f4ced42891c,"s_ashr_i32 s41, s40, 31",32,144,
0x7f4ced428920,"s_lshl_b64 s[40:41], s[40:41], 1",32,144,
0x7f4ced428924,"s_add_u32 s40, s44, s40",32,144,
0x7f4ced428928,"s_addc_u32 s41, s45, s41",32,144,
0x7f4ced42892c,"scratch_store_dword off, v1, off offset:2480",32,6688,
0x7f4ced428934,"v_readfirstlane_b32 s28, v1",32,128,
0x7f4ced428938,s_nop 1,32,128,
0x7f4ced42893c,"v_lshl_or_b32 v2, s28, 4, v28",32,128,
0x7f4ced428944,"v_mad_u64_u32 v[68:69], s[44:45], v2, s49, v[38:39]",32,128,
0x7f4ced42894c,"s_mov_b32 s43, 0x20000",32,144,
0x7f4ced428954,"v_lshlrev_b32_e32 v0, 1, v68",32,128,
0x7f4ced428958,"buffer_load_dwordx4 v[60:63], v0, s[40:43], 0 offen",32,9564,
0x7f4ced428960,"buffer_load_dwordx4 v[112:115], v0, s[40:43], 0 offen offset:64",32,296,
0x7f4ced428968,"buffer_load_dwordx4 v[116:119], v0, s[40:43], 0 offen offset:128",32,296,
0x7f4ced428970,"buffer_load_dwordx4 v[108:111], v0, s[40:43], 0 offen offset:192",32,324,
0x7f4ced428978,"buffer_load_dwordx4 v[104:107], v0, s[40:43], 0 offen offset:256",32,1164,
0x7f4ced428980,"buffer_load_dwordx4 v[12:15], v0, s[40:43], 0 offen offset:320",32,5788,
0x7f4ced428988,"buffer_load_dwordx4 v[16:19], v0, s[40:43], 0 offen offset:384",32,496,
0x7f4ced428990,"buffer_load_dwordx4 v[8:11], v0, s[40:43], 0 offen offset:448",32,488,
0x7f4ced428998,"buffer_load_dwordx4 v[4:7], v0, s[40:43], 0 offen offset:512",32,608,
0x7f4ced4289a0,"buffer_load_dwordx4 v[56:59], v0, s[40:43], 0 offen offset:576",32,1032,
0x7f4ced4289a8,"buffer_load_dwordx4 v[48:51], v0, s[40:43], 0 offen offset:640",32,580,
0x7f4ced4289b0,"buffer_load_dwordx4 v[44:47], v0, s[40:43], 0 offen offset:704",32,448,
0x7f4ced4289b8,"buffer_load_dwordx4 v[20:23], v0, s[40:43], 0 offen offset:768",32,492,
0x7f4ced4289c0,"buffer_load_dwordx4 v[24:27], v0, s[40:43], 0 offen offset:832",32,956,
0x7f4ced4289c8,"buffer_load_dwordx4 v[100:103], v0, s[40:43], 0 offen offset:896",32,1696,
0x7f4ced4289d0,"buffer_load_dwordx4 v[88:91], v0, s[40:43], 0 offen offset:960",32,588,
0x7f4ced4289d8,"s_add_u32 s40, s40, 0x400",32,144,
0x7f4ced4289e0,"s_addc_u32 s41, s41, 0",32,144,
0x7f4ced4289e4,"s_mul_i32 s1, s52, s1",32,144,
0x7f4ced4289e8,"s_mul_hi_u32 s28, s52, s0",32,144,
0x7f4ced4289ec,"s_add_i32 s1, s28, s1",32,144,
0x7f4ced4289f0,"s_mul_i32 s28, s53, s0",32,144,
0x7f4ced4289f4,"s_add_i32 s1, s1, s28",32,144,
0x7f4ced4289f8,"s_mul_i32 s0, s52, s0",32,144,
0x7f4ced4289fc,"s_lshl_b64 s[0:1], s[0:1], 2",32,144,
0x7f4ced428a00,"s_add_u32 s18, s18, s0",32,144,
0x7f4ced428a04,"s_addc_u32 s19, s19, s1",32,144,
0x7f4ced428a08,"s_ashr_i32 s28, s29, 31",32,144,
0x7f4ced428a0c,"s_add_i32 s0, s29, s28",32,144,
0x7f4ced428a10,"s_xor_b32 s35, s0, s28",32,144,
0x7f4ced428a14,"v_cvt_f32_u32_e32 v69, s35",32,128,
0x7f4ced428a18,"v_rcp_iflag_f32_e32 v69, v69",32,448,
0x7f4ced428a1c,s_nop 0,32,128,
0x7f4ced428a20,"v_mul_f32_e32 v69, 0x4f7ffffe, v69",32,128,
0x7f4ced428a28,"v_cvt_u32_f32_e32 v69, v69",32,128,
0x7f4ced428a2c,"s_sub_i32 s0, 0, s35",32,144,
0x7f4ced428a30,"v_mul_lo_u32 v70, s0, v69",32,128,
0x7f4ced428a38,"v_mul_hi_u32 v70, v69, v70",32,128,
0x7f4ced428a40,"v_add_u32_e32 v0, v69, v70",32,128,
0x7f4ced428a44,"v_lshl_or_b32 v79, s38, 6, v28",32,128,
0x7f4ced428a4c,"v_ashrrev_i32_e32 v69, 31, v79",32,128,
0x7f4ced428a50,"v_add_u32_e32 v70, v79, v69",32,128,
0x7f4ced428a54,"v_xor_b32_e32 v70, v70, v69",32,128,
0x7f4ced428a58,"v_mul_hi_u32 v71, v70, v0",32,128,
0x7f4ced428a60,"v_mul_lo_u32 v72, v71, s35",32,128,
0x7f4ced428a68,"v_sub_u32_e32 v70, v70, v72",32,128,
0x7f4ced428a6c,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428a70,"v_cmp_le_u32_e64 s[0:1], s35, v70",32,128,
0x7f4ced428a78,s_nop 1,32,128,
0x7f4ced428a7c,"v_cndmask_b32_e64 v71, v71, v72, s[0:1]",32,128,
0x7f4ced428a84,"v_subrev_u32_e32 v72, s35, v70",32,128,
0x7f4ced428a88,"v_cndmask_b32_e64 v70, v70, v72, s[0:1]",32,128,
