Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU,SQ_INSTS_VALU_ADD_F16,SQ_INSTS_VALU_MUL_F16,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_TRANS_F16,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum,TCP_VOLATILE_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCC_EA0_RDREQ[0],TCC_EA0_RDREQ_32B[0],TCC_EA0_WRREQ[0],TCC_EA0_WRREQ_64B[0],TCC_EA0_RDREQ[1],TCC_EA0_RDREQ_32B[1],TCC_EA0_WRREQ[1],TCC_EA0_WRREQ_64B[1],TCC_EA0_RDREQ[2],TCC_EA0_RDREQ_32B[2],TCC_EA0_WRREQ[2],TCC_EA0_WRREQ_64B[2],TCC_EA0_RDREQ[3],TCC_EA0_RDREQ_32B[3],TCC_EA0_WRREQ[3],TCC_EA0_WRREQ_64B[3],TCC_EA0_RDREQ[4],TCC_EA0_RDREQ_32B[4],TCC_EA0_WRREQ[4],TCC_EA0_WRREQ_64B[4],TCC_EA0_RDREQ[5],TCC_EA0_RDREQ_32B[5],TCC_EA0_WRREQ[5],TCC_EA0_WRREQ_64B[5],TCC_EA0_RDREQ[6],TCC_EA0_RDREQ_32B[6],TCC_EA0_WRREQ[6],TCC_EA0_WRREQ_64B[6],TCC_EA0_RDREQ[7],TCC_EA0_RDREQ_32B[7],TCC_EA0_WRREQ[7],TCC_EA0_WRREQ_64B[7],TCC_EA0_RDREQ[8],TCC_EA0_RDREQ_32B[8],TCC_EA0_WRREQ[8],TCC_EA0_WRREQ_64B[8],TCC_EA0_RDREQ[9],TCC_EA0_RDREQ_32B[9],TCC_EA0_WRREQ[9],TCC_EA0_WRREQ_64B[9],TCC_EA0_RDREQ[10],TCC_EA0_RDREQ_32B[10],TCC_EA0_WRREQ[10],TCC_EA0_WRREQ_64B[10],TCC_EA0_RDREQ[11],TCC_EA0_RDREQ_32B[11],TCC_EA0_WRREQ[11],TCC_EA0_WRREQ_64B[11],TCC_EA0_RDREQ[12],TCC_EA0_RDREQ_32B[12],TCC_EA0_WRREQ[12],TCC_EA0_WRREQ_64B[12],TCC_EA0_RDREQ[13],TCC_EA0_RDREQ_32B[13],TCC_EA0_WRREQ[13],TCC_EA0_WRREQ_64B[13],TCC_EA0_RDREQ[14],TCC_EA0_RDREQ_32B[14],TCC_EA0_WRREQ[14],TCC_EA0_WRREQ_64B[14],TCC_EA0_RDREQ[15],TCC_EA0_RDREQ_32B[15],TCC_EA0_WRREQ[15],TCC_EA0_WRREQ_64B[15],CPC_CPC_TCIU_IDLE,CPC_CPC_STAT_STALL,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
10,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,147,441454,441454,502272,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,23537,467860,37431090,70630,0,0,0,0,0.0,0.0,0.0,23537.0,1506128.0,1506128.0,0.0,1506128.0,0,0,7844,7844,0,0,7844,7844,9,0,7844,7844,6,0,7844,7844,10,0,7844,7844,18,0,7844,7844,2,0,7844,7844,12,0,7844,7844,0,0,7844,7844,0,0,7844,7844,8,0,7844,7844,6,0,7844,7844,10,0,7848,7848,18,0,7848,7848,2,0,7844,7844,14,0,7846,7846,110072,22622,0,92474,39512,22522,3806408501395219,3806496822686834,3806496822699874,3806408502258409
11,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,150,441454,441454,219648,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,10301,192609,15407434,30931,0,0,0,0,0.0,0.0,0.0,10301.0,658448.0,658448.0,0.0,658448.0,2,0,3430,3430,0,0,3428,3428,9,0,3428,3428,4,0,3428,3428,10,0,3428,3428,18,0,3428,3428,2,0,3428,3428,12,0,3428,3428,2,0,3432,3432,0,0,3432,3432,8,0,3432,3432,4,0,3432,3432,10,0,3432,3432,18,0,3432,3432,6,0,3432,3432,14,0,3432,3432,76332,23004,0,60677,15625,4835,3806408502824709,3806496822739115,3806496822751635,3806408503726140
12,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,153,441454,441454,259840,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,12183,229805,18377353,36577,0,0,0,0,0.0,0.0,0.0,12183.0,778992.0,778992.0,0.0,778992.0,4,0,4056,4056,0,0,4056,4056,9,0,4056,4056,4,0,4056,4056,8,0,4056,4056,18,0,4056,4056,2,0,4056,4056,14,0,4056,4056,4,0,4060,4060,0,0,4060,4060,8,0,4060,4060,4,0,4060,4060,8,0,4060,4060,18,0,4060,4060,6,0,4060,4060,16,0,4058,4058,82294,23971,0,71289,18245,7651,3806408504286654,3806496822787475,3806496822794195,3806408505189485
13,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,156,441454,441454,280832,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,13180,247070,19765118,39572,0,0,0,0,0.0,0.0,0.0,13180.0,842176.0,842176.0,0.0,842176.0,2,0,4388,4388,0,0,4388,4388,9,0,4384,4384,4,0,4384,4384,8,0,4388,4388,18,0,4388,4388,6,0,4388,4388,14,0,4388,4388,2,0,4388,4388,0,0,4388,4388,8,0,4388,4388,4,0,4388,4388,8,0,4388,4388,18,0,4388,4388,2,0,4388,4388,16,0,4388,4388,85516,24105,0,70828,19395,7659,3806408505748248,3806496822834675,3806496822850955,3806408506641404
14,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,159,441454,441454,366592,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,17190,337612,27012238,51598,0,0,0,0,0.0,0.0,0.0,17190.0,1099296.0,1099296.0,0.0,1099296.0,2,0,5728,5728,0,0,5728,5728,9,0,5728,5728,4,0,5728,5728,8,0,5728,5728,18,0,5728,5728,4,0,5728,5728,12,0,5728,5728,2,0,5724,5724,0,0,5724,5724,8,0,5724,5724,4,0,5728,5728,8,0,5724,5724,18,0,5724,5724,8,0,5724,5724,14,0,5724,5724,92610,21437,0,75354,27322,13571,3806408507202340,3806496822887475,3806496822904075,3806408508090468
15,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,162,441454,441454,315648,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,14796,284549,22757198,44388,0,0,0,0,0.0,0.0,0.0,14796.0,946944.0,946944.0,0.0,946944.0,6,0,4932,4932,0,0,4932,4932,9,0,4932,4932,4,0,4932,4932,8,0,4932,4932,18,0,4932,4932,4,0,4932,4932,12,0,4932,4932,5,0,4932,4932,0,0,4932,4932,8,0,4932,4932,4,0,4932,4932,8,0,4932,4932,18,0,4932,4932,4,0,4932,4932,14,0,4932,4932,86754,21560,0,70526,22732,10336,3806408508649824,3806496822939995,3806496822949115,3806408509529354
16,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,165,441454,441454,681984,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,31979,649218,51941334,95965,0,0,0,0,0.0,0.0,0.0,31979.0,2045552.0,2045552.0,0.0,2045552.0,2,0,10652,10652,2,0,10652,10652,9,0,10652,10652,4,0,10652,10652,8,0,10654,10654,18,0,10656,10656,6,0,10656,10656,12,0,10656,10656,2,0,10656,10656,2,0,10656,10656,8,0,10656,10656,4,0,10656,10656,8,0,10656,10656,18,0,10656,10656,2,0,10656,10656,14,0,10656,10656,129546,22558,0,112347,53578,34014,3806408510085255,3806496822985675,3806496823001996,3806408510959191
17,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,168,441454,441454,118528,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,5556,91064,7285518,16696,0,0,0,0,0.0,0.0,0.0,5556.0,355008.0,355008.0,0.0,355008.0,0,0,1848,1848,4,0,1848,1848,9,0,1848,1848,4,0,1848,1848,8,0,1848,1848,18,0,1848,1848,2,0,1848,1848,12,0,1848,1848,0,0,1852,1852,4,0,1852,1852,8,0,1848,1848,4,0,1848,1848,8,0,1852,1852,18,0,1852,1852,6,0,1852,1852,14,0,1852,1852,66160,24190,0,56084,24,1876,3806408511517946,3806496823036756,3806496823047636,3806408512378086
18,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,171,441454,441454,208128,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,9770,177108,14166876,29340,0,0,0,0,0.0,0.0,0.0,9770.0,624032.0,624032.0,0.0,624032.0,2,0,3252,3252,6,0,3252,3252,9,0,3252,3252,4,0,3252,3252,8,0,3248,3248,18,0,3248,3248,2,0,3248,3248,12,0,3252,3252,2,0,3252,3252,6,0,3252,3252,8,0,3252,3252,4,0,3252,3252,8,0,3252,3252,18,0,3252,3252,6,0,3252,3252,14,0,3252,3252,75708,23505,0,57351,13502,4018,3806408512940339,3806496823082756,3806496823087116,3806408513810788
19,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,174,441454,441454,268800,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,12599,240067,19200824,37825,0,0,0,0,0.0,0.0,0.0,12599.0,805808.0,805808.0,0.0,805808.0,2,0,4200,4200,2,0,4198,4198,9,0,4196,4196,4,0,4196,4196,8,0,4200,4200,18,0,4200,4200,2,0,4200,4200,12,0,4200,4200,2,0,4196,4196,2,0,4196,4196,8,0,4196,4196,4,0,4196,4196,8,0,4196,4196,18,0,4196,4196,6,0,4196,4196,14,0,4196,4196,82623,22487,0,65527,18856,7497,3806408514369838,3806496823122316,3806496823136716,3806408515228316
20,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,177,441454,441454,138496,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,6498,110254,8821761,19522,0,0,0,0,0.0,0.0,0.0,6498.0,415008.0,415008.0,0.0,415008.0,0,0,2160,2160,2,0,2164,2164,9,0,2160,2160,6,0,2160,2160,8,0,2160,2160,18,0,2160,2160,6,0,2160,2160,12,0,2160,2160,0,0,2164,2164,2,0,2164,2164,8,0,2164,2164,6,0,2164,2164,8,0,2164,2164,18,0,2164,2164,2,0,2164,2164,14,0,2164,2164,68489,23655,0,59354,24,2188,3806408515792024,3806496823171436,3806496823185276,3806408516632174
21,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,180,441454,441454,385280,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,18061,352544,28206739,54211,0,0,0,0,0.0,0.0,0.0,18061.0,1155280.0,1155280.0,0.0,1155280.0,0,0,6016,6016,6,0,6016,6016,9,0,6016,6016,6,0,6016,6016,8,0,6016,6016,18,0,6016,6016,6,0,6016,6016,12,0,6016,6016,0,0,6020,6020,6,0,6020,6020,8,0,6020,6020,6,0,6020,6020,8,0,6020,6020,18,0,6020,6020,2,0,6018,6018,14,0,6016,6016,94619,22358,0,77672,28709,14679,3806408517199292,3806496823219956,3806496823231596,3806408518063322
22,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,183,441454,441454,439040,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,20575,406480,32520253,61750,0,0,0,0,0.0,0.0,0.0,20575.0,1316464.0,1316464.0,0.0,1316464.0,0,0,6856,6856,2,0,6856,6856,11,0,6856,6856,4,0,6856,6856,8,0,6856,6856,18,0,6856,6856,2,0,6856,6856,12,0,6856,6856,0,0,6860,6860,2,0,6860,6860,10,0,6860,6860,4,0,6858,6858,8,0,6856,6856,18,0,6856,6856,2,0,6856,6856,14,0,6856,6856,103648,22249,0,86533,33038,18066,3806408518623091,3806496823265597,3806496823277357,3806408519466282
23,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,186,441454,441454,273920,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,12838,246296,19704250,38542,0,0,0,0,0.0,0.0,0.0,12838.0,821152.0,821152.0,0.0,821152.0,0,0,4280,4280,0,0,4280,4280,13,0,4280,4280,4,0,4280,4280,8,0,4276,4276,18,0,4280,4280,2,0,4276,4276,12,0,4276,4276,0,0,4276,4276,0,0,4276,4276,12,0,4276,4276,4,0,4276,4276,8,0,4276,4276,18,0,4276,4276,6,0,4276,4276,14,0,4276,4276,82725,22283,0,66295,19784,8202,3806408520028332,3806496823312397,3806496823324237,3806408520884811
24,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,189,441454,441454,228608,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,10708,201217,16094658,32140,0,0,0,0,0.0,0.0,0.0,10708.0,685120.0,685120.0,0.0,685120.0,0,0,3568,3568,2,0,3568,3568,15,0,3568,3568,4,0,3568,3568,8,0,3568,3568,18,0,3568,3568,2,0,3568,3568,12,0,3568,3568,0,0,3568,3568,2,0,3568,3568,13,0,3568,3568,4,0,3568,3568,8,0,3568,3568,18,0,3568,3568,2,0,3572,3572,14,0,3572,3572,79530,22020,0,64039,16221,5190,3806408521442597,3806496823359197,3806496823371757,3806408522285741
25,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,192,441454,441454,336384,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,15770,302310,24190166,47338,0,0,0,0,0.0,0.0,0.0,15770.0,1008608.0,1008608.0,0.0,1008608.0,0,0,5252,5252,2,0,5252,5252,11,0,5252,5252,4,0,5252,5252,8,0,5252,5252,18,0,5252,5252,6,0,5252,5252,12,0,5252,5252,0,0,5256,5256,2,0,5256,5256,10,0,5256,5256,4,0,5256,5256,8,0,5256,5256,18,0,5256,5256,2,0,5252,5252,14,0,5256,5256,89696,22392,0,72012,24734,11701,3806408522844839,3806496823406797,3806496823418037,3806408523688982
26,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,195,441454,441454,425984,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,19957,389704,31182206,59878,0,0,0,0,0.0,0.0,0.0,19957.0,1277200.0,1277200.0,0.0,1277200.0,2,0,6652,6652,0,0,6652,6652,13,0,6652,6652,4,0,6652,6652,8,0,6652,6652,18,0,6654,6654,2,0,6652,6652,12,0,6652,6652,2,0,6652,6652,0,0,6652,6652,14,0,6652,6652,4,0,6652,6652,8,0,6652,6652,18,0,6652,6652,2,0,6652,6652,14,0,6652,6652,99516,22411,0,82710,32341,16713,3806408524252681,3806496823453237,3806496823469637,3806408525131322
27,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,198,441454,441454,412416,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,19343,383349,30660743,58057,0,0,0,0,0.0,0.0,0.0,19343.0,1236848.0,1236848.0,0.0,1236848.0,2,0,6444,6444,0,0,6444,6444,11,0,6444,6444,4,0,6444,6444,8,0,6444,6444,18,0,6444,6444,6,0,6444,6444,12,0,6444,6444,2,0,6440,6440,0,0,6440,6440,10,0,6440,6440,4,0,6440,6440,8,0,6442,6442,18,0,6444,6444,2,0,6444,6444,14,0,6444,6444,98414,21565,0,81840,30911,15544,3806408525688825,3806496823503318,3806496823518478,3806408526540019
28,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,201,441454,441454,125952,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,5912,98860,7906608,17764,0,0,0,0,0.0,0.0,0.0,5912.0,377408.0,377408.0,0.0,377408.0,0,0,1968,1968,0,0,1968,1968,11,0,1968,1968,6,0,1968,1968,8,0,1968,1968,18,0,1968,1968,6,0,1968,1968,12,0,1968,1968,0,0,1964,1964,0,0,1964,1964,10,0,1968,1968,6,0,1968,1968,8,0,1964,1964,18,0,1964,1964,2,0,1964,1964,14,0,1964,1964,67306,23716,0,58344,24,1992,3806408527099200,3806496823554718,3806496823567318,3806408527949522
29,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,204,441454,441454,634368,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,29741,597823,47821452,89251,0,0,0,0,0.0,0.0,0.0,29741.0,1902608.0,1902608.0,0.0,1902608.0,0,0,9912,9912,0,0,9912,9912,11,0,9912,9912,10,0,9912,9912,8,0,9912,9912,18,0,9912,9912,6,0,9912,9912,12,0,9912,9912,0,0,9908,9908,0,0,9908,9908,10,0,9908,9908,9,0,9908,9908,8,0,9908,9908,18,0,9910,9910,2,0,9908,9908,14,0,9908,9908,123255,22245,0,106368,50476,32130,3806408528513840,3806496823602478,3806496823611318,3806408529372624
30,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,207,441454,441454,525568,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,24651,498723,39898804,73984,0,0,0,0,0.0,0.0,0.0,24651.0,1576368.0,1576368.0,0.0,1576368.0,0,0,8212,8212,0,0,8212,8212,11,0,8212,8212,6,0,8212,8212,8,0,8212,8212,18,0,8212,8212,2,0,8212,8212,12,0,8212,8212,0,0,8212,8212,0,0,8212,8212,10,0,8212,8212,6,0,8212,8212,8,0,8208,8208,18,0,8208,8208,6,0,8212,8212,14,0,8210,8210,111169,22076,0,95243,40658,24312,3806408529931515,3806496823647478,3806496823656318,3806408530765477
31,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,210,441454,441454,681984,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,31979,643503,51471481,95965,0,0,0,0,0.0,0.0,0.0,31979.0,2045552.0,2045552.0,0.0,2045552.0,0,0,10656,10656,0,0,10656,10656,11,0,10654,10654,10,0,10656,10656,8,0,10652,10652,18,0,10652,10652,6,0,10652,10652,12,0,10652,10652,0,0,10656,10656,0,0,10656,10656,10,0,10656,10656,10,0,10656,10656,8,0,10656,10656,18,0,10656,10656,2,0,10656,10656,14,0,10656,10656,127204,21514,0,111731,54267,36637,3806408531324649,3806496823692238,3806496823705238,3806408532185506
32,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,213,441454,441454,317696,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,14890,286555,22925461,44698,0,0,0,0,0.0,0.0,0.0,14890.0,952480.0,952480.0,0.0,952480.0,0,0,4960,4960,0,0,4960,4960,9,0,4960,4960,10,0,4960,4960,8,0,4960,4960,20,0,4960,4960,6,0,4960,4960,12,0,4960,4960,0,0,4960,4960,0,0,4960,4960,8,0,4960,4960,10,0,4964,4964,8,0,4964,4964,20,0,4964,4964,2,0,4964,4964,14,0,4964,4964,86933,22205,0,70368,22504,10495,3806408532742556,3806496823739438,3806496823747718,3806408533590660
33,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,216,441454,441454,378880,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,17769,347548,27800454,53335,0,0,0,0,0.0,0.0,0.0,17769.0,1136208.0,1136208.0,0.0,1136208.0,0,0,5920,5920,0,0,5920,5920,9,0,5920,5920,6,0,5920,5920,8,0,5920,5920,20,0,5920,5920,2,0,5920,5920,12,0,5920,5920,0,0,5916,5916,0,0,5916,5916,8,0,5916,5916,6,0,5916,5916,8,0,5920,5920,20,0,5920,5920,6,0,5916,5916,14,0,5918,5918,93858,21932,0,77636,27744,15283,3806408534149342,3806496823784759,3806496823798759,3806408534990909
34,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,219,441454,441454,498432,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,23369,473845,37910686,70135,0,0,0,0,0.0,0.0,0.0,23369.0,1494800.0,1494800.0,0.0,1494800.0,0,0,7788,7788,0,0,7788,7788,9,0,7788,7788,6,0,7788,7788,10,0,7788,7788,18,0,7788,7788,6,0,7788,7788,12,0,7788,7788,0,0,7784,7784,0,0,7784,7784,8,0,7784,7784,6,0,7784,7784,10,0,7786,7786,18,0,7784,7784,2,0,7784,7784,14,0,7784,7784,109496,22960,0,92710,38639,21649,3806408535545526,3806496823834159,3806496823844639,3806408536399250
35,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,222,441454,441454,235520,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,11059,194195,15533209,33203,0,0,0,0,0.0,0.0,0.0,11059.0,706288.0,706288.0,0.0,706288.0,0,0,3680,3680,0,0,3680,3680,9,0,3680,3680,6,0,3680,3680,12,0,3680,3680,18,0,3680,3680,6,0,3680,3680,12,0,3680,3680,0,0,3678,3678,0,0,3680,3680,8,0,3680,3680,6,0,3680,3680,12,0,3680,3680,18,0,3680,3680,2,0,3680,3680,14,0,3680,3680,77957,22711,0,60476,16617,5464,3806408536958372,3806496823880279,3806496823891599,3806408537804800
36,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,225,441454,441454,325888,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,15294,300472,24030739,45910,0,0,0,0,0.0,0.0,0.0,15294.0,977376.0,977376.0,0.0,977376.0,0,0,5092,5092,0,0,5092,5092,9,0,5092,5092,4,0,5092,5092,10,0,5092,5092,18,0,5092,5092,6,0,5092,5092,14,0,5092,5092,0,0,5092,5092,0,0,5092,5092,8,0,5092,5092,4,0,5092,5092,10,0,5092,5092,18,0,5092,5092,2,0,5088,5088,16,0,5092,5092,88636,22057,0,72483,24045,11161,3806408538362760,3806496823927159,3806496823935439,3806408539205427
37,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,228,441454,441454,381184,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,17886,355088,28406150,53686,0,0,0,0,0.0,0.0,0.0,17886.0,1143264.0,1143264.0,0.0,1143264.0,0,0,5956,5956,0,0,5956,5956,9,0,5956,5956,4,0,5956,5956,10,0,5956,5956,18,0,5956,5956,6,0,5956,5956,14,0,5952,5952,0,0,5956,5956,0,0,5956,5956,8,0,5956,5956,4,0,5956,5956,10,0,5956,5956,18,0,5956,5956,2,0,5956,5956,16,0,5956,5956,96225,22430,0,79560,28839,14286,3806408539774377,3806496823973639,3806496823983319,3806408540621407
38,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,231,441454,441454,258560,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,12121,229543,18361484,36391,0,0,0,0,0.0,0.0,0.0,12121.0,775120.0,775120.0,0.0,775120.0,0,0,4036,4036,0,0,4036,4036,9,0,4036,4036,4,0,4036,4036,14,0,4036,4036,18,0,4036,4036,8,0,4036,4036,12,0,4036,4036,0,0,4040,4040,0,0,4040,4040,8,0,4040,4040,4,0,4040,4040,12,0,4038,4038,18,0,4036,4036,4,0,4040,4040,14,0,4040,4040,81750,23022,0,64925,18337,7209,3806408541181408,3806496824019320,3806496824031680,3806408542031353
39,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul> >(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) [clone .kd]",2,0,234,441454,441454,329728,256,0,0,12,4,32,64,0x0,0x7fc18e3ac2c0,15453,299389,23947374,46387,0,0,0,0,0.0,0.0,0.0,15453.0,988560.0,988560.0,0.0,988560.0,0,0,5148,5148,0,0,5148,5148,9,0,5148,5148,4,0,5150,5150,10,0,5152,5152,18,0,5152,5152,8,0,5152,5152,12,0,5152,5152,0,0,5148,5148,0,0,5148,5148,8,0,5148,5148,4,0,5148,5148,10,0,5148,5148,18,0,5148,5148,4,0,5148,5148,14,0,5148,5148,90202,22781,0,73661,24323,11151,3806408542588944,3806496824066640,3806496824074000,3806408543420218
